",""logFC"",""AveExpr"",""t"",""P.Value"",""adj.P.Val"",""B"",""GeneSymbol"""
"235562_at,1.0288436411347,4.96443943644181,3.94466220326951,0.000674425087118758,0.165125500246814,-0.343126425623723,""C3orf70"""
"210719_s_at,-0.754333282063049,8.79004611472956,-3.94452705717921,0.000674648473672315,0.165125500246814,-0.343406872398285,""HMG20B"""
"215100_at,-0.644789331253903,3.98305685654126,-3.94381440522072,0.000675827648662725,0.165125500246814,-0.344885714072825,""ADTRP"""
240984_at,-0.712128030218591,7.23914681365849,-3.94340337534551,0.000676508679566278,0.165125500246814,-0.34573864510033,NA
"215072_x_at,-0.563538161648411,4.44784978139166,-3.93356896055134,0.000693007593344756,0.166704864929743,-0.36614450476533,""EDRF1"""
"229538_s_at,-0.813849009554386,5.27358111917593,-3.93317367428881,0.000693679025548803,0.166704864929743,-0.366964636014531,""IQGAP3"""
"202133_at,0.558117344147547,10.3520257848917,3.92851126823857,0.000701647387491079,0.166704864929743,-0.376637701271686,""WWTR1"""
"215806_x_at,-1.45108419244713,11.7582200180579,-3.92639608945607,0.000705292212415614,0.166704864929743,-0.381025808334559,""TRGC2"""
"207373_at,1.29704476408283,5.76971272332428,3.92377547213012,0.00070983402629936,0.166704864929743,-0.386462275717846,""HOXD10"""
238386_x_at,-0.955678749829634,4.39301636570051,-3.92313052892982,0.000710956218876559,0.166704864929743,-0.387800173248801,NA
"223216_x_at,0.596563760956602,6.20774292522419,3.91963989484684,0.000717060445361637,0.166704864929743,-0.395041040855651,""ZNF395"""
"235898_at,0.887229857056291,5.60186337796306,3.91289396825289,0.000729004848260686,0.166704864929743,-0.40903336487368,""MTA3"""
"219647_at,1.0628875170512,6.27770547706881,3.91276600244153,0.000729233320139357,0.166704864929743,-0.40929877423141,""POPDC2"""
"202817_s_at,0.607945013513834,8.87424807535455,3.91026496312348,0.000733712975454622,0.166704864929743,-0.414485970950372,""SS18"""
